dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp,date,iso2
17/05/2020,17,5,2020,0,0,Afghanistan,AF,AFG,37172386,Asia,2020-05-17,AF
16/05/2020,16,5,2020,1063,32,Afghanistan,AF,AFG,37172386,Asia,2020-05-16,AF
15/05/2020,15,5,2020,113,6,Afghanistan,AF,AFG,37172386,Asia,2020-05-15,AF
14/05/2020,14,5,2020,259,3,Afghanistan,AF,AFG,37172386,Asia,2020-05-14,AF
13/05/2020,13,5,2020,280,5,Afghanistan,AF,AFG,37172386,Asia,2020-05-13,AF
12/05/2020,12,5,2020,285,2,Afghanistan,AF,AFG,37172386,Asia,2020-05-12,AF
11/05/2020,11,5,2020,369,5,Afghanistan,AF,AFG,37172386,Asia,2020-05-11,AF
10/05/2020,10,5,2020,255,6,Afghanistan,AF,AFG,37172386,Asia,2020-05-10,AF
09/05/2020,9,5,2020,215,3,Afghanistan,AF,AFG,37172386,Asia,2020-05-09,AF
08/05/2020,8,5,2020,171,2,Afghanistan,AF,AFG,37172386,Asia,2020-05-08,AF
07/05/2020,7,5,2020,168,9,Afghanistan,AF,AFG,37172386,Asia,2020-05-07,AF
06/05/2020,6,5,2020,330,5,Afghanistan,AF,AFG,37172386,Asia,2020-05-06,AF
05/05/2020,5,5,2020,190,5,Afghanistan,AF,AFG,37172386,Asia,2020-05-05,AF
04/05/2020,4,5,2020,235,13,Afghanistan,AF,AFG,37172386,Asia,2020-05-04,AF
03/05/2020,3,5,2020,134,4,Afghanistan,AF,AFG,37172386,Asia,2020-05-03,AF
02/05/2020,2,5,2020,164,4,Afghanistan,AF,AFG,37172386,Asia,2020-05-02,AF
01/05/2020,1,5,2020,222,4,Afghanistan,AF,AFG,37172386,Asia,2020-05-01,AF
30/04/2020,30,4,2020,122,0,Afghanistan,AF,AFG,37172386,Asia,2020-04-30,AF
29/04/2020,29,4,2020,124,3,Afghanistan,AF,AFG,37172386,Asia,2020-04-29,AF
28/04/2020,28,4,2020,172,0,Afghanistan,AF,AFG,37172386,Asia,2020-04-28,AF
27/04/2020,27,4,2020,68,10,Afghanistan,AF,AFG,37172386,Asia,2020-04-27,AF
26/04/2020,26,4,2020,112,4,Afghanistan,AF,AFG,37172386,Asia,2020-04-26,AF
