"","iso3","cname","cu_cases","days_elapsed"
"1","ARG","Argentina",342132,1
"2","AUS","Australia",342132,1
"3","AUT","Austria",342132,1
"4","BEL","Belgium",342132,1
"5","BRA","Brazil",342132,1
"6","CAN","Canada",342132,1
"7","CHL","Chile",342132,1
"8","CHN","China",342132,1
"9","COL","Colombia",342132,1
"10","CZE","Czech Republic",342132,1
"11","DNK","Denmark",342132,1
"12","DOM","Dominican Republic",342132,1
"13","ECU","Ecuador",342132,1
"14","FIN","Finland",342132,1
"15","FRA","France",342132,1
"16","DEU","Germany",342132,1
"17","GRC","Greece",342132,1
"18","IND","India",342132,1
"19","IDN","Indonesia",342132,1
"20","IRN","Iran",342132,1
"21","IRL","Ireland",342132,1
"22","ISR","Israel",342132,1
"23","ITA","Italy",342132,1
"24","JPN","Japan",342132,1
"25","LUX","Luxembourg",342132,1
"26","MYS","Malaysia",342132,1
"27","MEX","Mexico",342132,1
"28","NLD","Netherlands",342132,1
"29","NOR","Norway",342132,1
"30","PAK","Pakistan",342132,1
"31","PAN","Panama",342132,1
"32","PER","Peru",342132,1
"33","PHL","Philippines",342132,1
"34","POL","Poland",342132,1
"35","PRT","Portugal",342132,1
"36","QAT","Qatar",342132,1
"37","ROU","Romania",342132,1
"38","RUS","Russian Federation",342132,1
"39","SAU","Saudi Arabia",342132,1
"40","SRB","Serbia",342132,1
"41","ZAF","South Africa",342132,1
"42","KOR","South Korea",342132,1
"43","ESP","Spain",342132,1
"44","SWE","Sweden",342132,1
"45","CHE","Switzerland",342132,1
"46","THA","Thailand",342132,1
"47","TUR","Turkey",342132,1
"48","ARE","United Arab Emirates",342132,1
"49","GBR","UK",342132,1
"50","USA","USA",342132,1
