"","iso3","cname","cu_cases","days_elapsed"
"1","KHM","Cambodia",1377884,1
"2","FRO","Faroe Islands",1377884,1
"3","MUS","Mauritius",1377884,1
"4","TTO","Trinidad and Tobago",1377884,1
"5","GGY","Guernsey",1377884,1
"6","MNE","Montenegro",1377884,1
"7","ABW","Aruba",1377884,1
"8","BRN","Brunei Darussalam",1377884,1
"9","TWN","Taiwan, Province of China",1377884,1
"10","TZA","Tanzania, United Republic of",1377884,1
"11","GIB","Gibraltar",1377884,1
"12","STP","Sao Tome and Principe",1377884,1
"13","AND","Andorra",1377884,1
"14","BEN","Benin",1377884,1
"15","GNQ","Equatorial Guinea",1377884,1
"16","GUM","Guam",1377884,1
"17","BMU","Bermuda",1377884,1
"18","MMR","Myanmar",1377884,1
"19","PSE","Palestine, State of",1377884,1
"20","SSD","South Sudan",1377884,1
"21","CPV","Cabo Verde",1377884,1
"22","CAF","Central African Republic",1377884,1
"23","TCD","Chad",1377884,1
"24","COG","Congo",1377884,1
"25","SWZ","Swaziland",1377884,1
"26","ETH","Ethiopia",1377884,1
"27","GEO","Georgia",1377884,1
"28","GUY","Guyana",1377884,1
"29","HTI","Haiti",1377884,1
"30","IMN","Isle of Man",1377884,1
"31","JAM","Jamaica",1377884,1
"32","JEY","Jersey",1377884,1
"33","JOR","Jordan",1377884,1
"34","LBR","Liberia",1377884,1
"35","MDG","Madagascar",1377884,1
"36","MLT","Malta",1377884,1
"37","MNG","Mongolia",1377884,1
"38","MOZ","Mozambique",1377884,1
"39","NPL","Nepal",1377884,1
"40","PRY","Paraguay",1377884,1
"41","RWA","Rwanda",1377884,1
"42","SMR","San Marino",1377884,1
"43","SLE","Sierra Leone",1377884,1
"44","TGO","Togo",1377884,1
"45","UGA","Uganda",1377884,1
"46","URY","Uruguay",1377884,1
"47","VEN","Venezuela, Bolivarian Republic of",1377884,1
"48","VNM","Viet Nam",1377884,1
"49","YEM","Yemen",1377884,1
"50","ZMB","Zambia",1377884,1
