"","date","cname","iso3","records.cases","records.deaths","cu_cases","cu_deaths","days_elapsed","end_label"
"1",2020-01-22,"China","CHN",140,11,526,17,0,NA
"2",2020-01-23,"China","CHN",97,0,623,17,1,NA
"3",2020-01-24,"China","CHN",259,9,882,26,2,NA
"4",2020-01-25,"China","CHN",441,15,1323,41,3,NA
"5",2020-01-26,"China","CHN",665,15,1988,56,4,NA
"6",2020-01-27,"China","CHN",787,25,2775,81,5,NA
"7",2020-01-28,"China","CHN",1753,25,4528,106,6,NA
"8",2020-01-29,"China","CHN",1466,26,5994,132,7,NA
"9",2020-01-30,"China","CHN",1740,38,7734,170,8,NA
"10",2020-01-31,"China","CHN",1980,43,9714,213,9,NA
"11",2020-02-01,"China","CHN",2095,46,11809,259,10,NA
"12",2020-02-02,"China","CHN",2590,45,14399,304,11,NA
"13",2020-02-03,"China","CHN",2812,57,17211,361,12,NA
"14",2020-02-04,"China","CHN",3237,65,20448,426,13,NA
"15",2020-02-05,"China","CHN",3872,66,24320,492,14,NA
"16",2020-02-06,"China","CHN",3727,72,28047,564,15,NA
"17",2020-02-07,"China","CHN",3160,73,31207,637,16,NA
"18",2020-02-08,"China","CHN",3418,86,34625,723,17,NA
"19",2020-02-09,"China","CHN",2607,89,37232,812,18,NA
"20",2020-02-10,"China","CHN",2974,97,40206,909,19,NA
"21",2020-02-11,"China","CHN",2490,108,42696,1017,20,NA
"22",2020-02-12,"China","CHN",2028,97,44724,1114,21,NA
"23",2020-02-13,"China","CHN",15141,254,59865,1368,22,NA
"24",2020-02-14,"China","CHN",4156,13,64021,1381,23,NA
"25",2020-02-15,"China","CHN",2538,143,66559,1524,24,NA
"26",2020-02-16,"China","CHN",2007,142,68566,1666,25,NA
"27",2020-02-17,"China","CHN",2052,105,70618,1771,26,NA
"28",2020-02-18,"China","CHN",1890,98,72508,1869,27,NA
"29",2020-02-19,"China","CHN",1750,139,74258,2008,28,NA
"30",2020-02-20,"China","CHN",394,112,74652,2120,29,NA
"31",2020-02-21,"China","CHN",891,118,75543,2238,30,NA
"32",2020-02-22,"China","CHN",826,109,76369,2347,31,NA
"33",2020-02-23,"China","CHN",647,98,77016,2445,32,NA
"34",2020-02-24,"China","CHN",218,150,77234,2595,33,NA
"35",2020-02-25,"China","CHN",515,70,77749,2665,34,NA
"36",2020-02-25,"Iran, Islamic Republic of","IRN",18,4,61,12,0,NA
"37",2020-02-26,"China","CHN",410,52,78159,2717,35,NA
