records.dateRep,records.day,records.month,records.year,records.cases,records.deaths,records.countriesAndTerritories,records.geoId,records.countryterritoryCode,records.popData2018,date,iso2,iso3,cname
13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,37172386,2020-04-13,AF,AFG,Afghanistan
12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,37172386,2020-04-12,AF,AFG,Afghanistan
11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,37172386,2020-04-11,AF,AFG,Afghanistan
10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,37172386,2020-04-10,AF,AFG,Afghanistan
09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,37172386,2020-04-09,AF,AFG,Afghanistan
08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,37172386,2020-04-08,AF,AFG,Afghanistan
07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,37172386,2020-04-07,AF,AFG,Afghanistan
06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,37172386,2020-04-06,AF,AFG,Afghanistan
05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,37172386,2020-04-05,AF,AFG,Afghanistan
04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,37172386,2020-04-04,AF,AFG,Afghanistan
03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,37172386,2020-04-03,AF,AFG,Afghanistan
02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,37172386,2020-04-02,AF,AFG,Afghanistan
01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,37172386,2020-04-01,AF,AFG,Afghanistan
31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,37172386,2020-03-31,AF,AFG,Afghanistan
30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,37172386,2020-03-30,AF,AFG,Afghanistan
29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,37172386,2020-03-29,AF,AFG,Afghanistan
28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,37172386,2020-03-28,AF,AFG,Afghanistan
27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,37172386,2020-03-27,AF,AFG,Afghanistan
26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,37172386,2020-03-26,AF,AFG,Afghanistan
25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,37172386,2020-03-25,AF,AFG,Afghanistan
24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,37172386,2020-03-24,AF,AFG,Afghanistan
23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,37172386,2020-03-23,AF,AFG,Afghanistan
22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,37172386,2020-03-22,AF,AFG,Afghanistan
21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,37172386,2020-03-21,AF,AFG,Afghanistan
20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,37172386,2020-03-20,AF,AFG,Afghanistan
19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,37172386,2020-03-19,AF,AFG,Afghanistan
18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,37172386,2020-03-18,AF,AFG,Afghanistan
17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,37172386,2020-03-17,AF,AFG,Afghanistan
16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,37172386,2020-03-16,AF,AFG,Afghanistan
15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,37172386,2020-03-15,AF,AFG,Afghanistan
11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,37172386,2020-03-11,AF,AFG,Afghanistan
08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,37172386,2020-03-08,AF,AFG,Afghanistan
02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,37172386,2020-03-02,AF,AFG,Afghanistan
01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,37172386,2020-03-01,AF,AFG,Afghanistan
29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-29,AF,AFG,Afghanistan
28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-28,AF,AFG,Afghanistan
27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-27,AF,AFG,Afghanistan
26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-26,AF,AFG,Afghanistan
25/02/2020,25,2,2020,1,0,Afghanistan,AF,AFG,37172386,2020-02-25,AF,AFG,Afghanistan
24/02/2020,24,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-24,AF,AFG,Afghanistan
23/02/2020,23,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-23,AF,AFG,Afghanistan
22/02/2020,22,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-22,AF,AFG,Afghanistan
21/02/2020,21,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-21,AF,AFG,Afghanistan
20/02/2020,20,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-20,AF,AFG,Afghanistan
19/02/2020,19,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-19,AF,AFG,Afghanistan
18/02/2020,18,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-18,AF,AFG,Afghanistan
17/02/2020,17,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-17,AF,AFG,Afghanistan
16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-16,AF,AFG,Afghanistan
15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-15,AF,AFG,Afghanistan
14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-14,AF,AFG,Afghanistan
13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,37172386,2020-02-13,AF,AFG,Afghanistan
