date,cname,measure,count
2019-12-31,Denmark,Cases,NA
2019-12-31,Denmark,Deaths,NA
2019-12-31,Finland,Cases,NA
2019-12-31,Finland,Deaths,NA
2019-12-31,Iceland,Cases,NA
2019-12-31,Iceland,Deaths,NA
2019-12-31,Norway,Cases,NA
2019-12-31,Norway,Deaths,NA
2019-12-31,Sweden,Cases,NA
2019-12-31,Sweden,Deaths,NA
2020-01-01,Denmark,Cases,NA
2020-01-01,Denmark,Deaths,NA
2020-01-01,Finland,Cases,NA
2020-01-01,Finland,Deaths,NA
2020-01-01,Iceland,Cases,NA
2020-01-01,Iceland,Deaths,NA
2020-01-01,Norway,Cases,NA
2020-01-01,Norway,Deaths,NA
2020-01-01,Sweden,Cases,NA
2020-01-01,Sweden,Deaths,NA
2020-01-02,Denmark,Cases,NA
2020-01-02,Denmark,Deaths,NA
2020-01-02,Finland,Cases,NA
2020-01-02,Finland,Deaths,NA
2020-01-02,Iceland,Cases,NA
2020-01-02,Iceland,Deaths,NA
2020-01-02,Norway,Cases,NA
2020-01-02,Norway,Deaths,NA
2020-01-02,Sweden,Cases,NA
2020-01-02,Sweden,Deaths,NA
2020-01-03,Denmark,Cases,NA
2020-01-03,Denmark,Deaths,NA
2020-01-03,Finland,Cases,NA
2020-01-03,Finland,Deaths,NA
2020-01-03,Iceland,Cases,NA
2020-01-03,Iceland,Deaths,NA
2020-01-03,Norway,Cases,NA
2020-01-03,Norway,Deaths,NA
2020-01-03,Sweden,Cases,NA
2020-01-03,Sweden,Deaths,NA
2020-01-04,Denmark,Cases,NA
2020-01-04,Denmark,Deaths,NA
2020-01-04,Finland,Cases,NA
2020-01-04,Finland,Deaths,NA
2020-01-04,Iceland,Cases,NA
2020-01-04,Iceland,Deaths,NA
2020-01-04,Norway,Cases,NA
2020-01-04,Norway,Deaths,NA
2020-01-04,Sweden,Cases,NA
2020-01-04,Sweden,Deaths,NA
2020-01-05,Denmark,Cases,NA
2020-01-05,Denmark,Deaths,NA
2020-01-05,Finland,Cases,NA
2020-01-05,Finland,Deaths,NA
2020-01-05,Iceland,Cases,NA
2020-01-05,Iceland,Deaths,NA
2020-01-05,Norway,Cases,NA
2020-01-05,Norway,Deaths,NA
2020-01-05,Sweden,Cases,NA
2020-01-05,Sweden,Deaths,NA
2020-01-06,Denmark,Cases,NA
2020-01-06,Denmark,Deaths,NA
2020-01-06,Finland,Cases,NA
2020-01-06,Finland,Deaths,NA
2020-01-06,Iceland,Cases,NA
2020-01-06,Iceland,Deaths,NA
2020-01-06,Norway,Cases,NA
2020-01-06,Norway,Deaths,NA
2020-01-06,Sweden,Cases,NA
2020-01-06,Sweden,Deaths,NA
2020-01-07,Denmark,Cases,NA
2020-01-07,Denmark,Deaths,NA
2020-01-07,Finland,Cases,NA
2020-01-07,Finland,Deaths,NA
2020-01-07,Iceland,Cases,NA
2020-01-07,Iceland,Deaths,NA
2020-01-07,Norway,Cases,NA
2020-01-07,Norway,Deaths,NA
2020-01-07,Sweden,Cases,NA
2020-01-07,Sweden,Deaths,NA
2020-01-08,Denmark,Cases,NA
2020-01-08,Denmark,Deaths,NA
2020-01-08,Finland,Cases,NA
2020-01-08,Finland,Deaths,NA
2020-01-08,Iceland,Cases,NA
2020-01-08,Iceland,Deaths,NA
2020-01-08,Norway,Cases,NA
2020-01-08,Norway,Deaths,NA
2020-01-08,Sweden,Cases,NA
2020-01-08,Sweden,Deaths,NA
2020-01-09,Denmark,Cases,NA
2020-01-09,Denmark,Deaths,NA
2020-01-09,Finland,Cases,NA
2020-01-09,Finland,Deaths,NA
2020-01-09,Iceland,Cases,NA
2020-01-09,Iceland,Deaths,NA
2020-01-09,Norway,Cases,NA
2020-01-09,Norway,Deaths,NA
2020-01-09,Sweden,Cases,NA
2020-01-09,Sweden,Deaths,NA
2020-01-10,Denmark,Cases,NA
2020-01-10,Denmark,Deaths,NA
2020-01-10,Finland,Cases,NA
2020-01-10,Finland,Deaths,NA
2020-01-10,Iceland,Cases,NA
2020-01-10,Iceland,Deaths,NA
2020-01-10,Norway,Cases,NA
2020-01-10,Norway,Deaths,NA
2020-01-10,Sweden,Cases,NA
2020-01-10,Sweden,Deaths,NA
2020-01-11,Denmark,Cases,NA
2020-01-11,Denmark,Deaths,NA
2020-01-11,Finland,Cases,NA
2020-01-11,Finland,Deaths,NA
2020-01-11,Iceland,Cases,NA
2020-01-11,Iceland,Deaths,NA
2020-01-11,Norway,Cases,NA
2020-01-11,Norway,Deaths,NA
2020-01-11,Sweden,Cases,NA
2020-01-11,Sweden,Deaths,NA
2020-01-12,Denmark,Cases,NA
2020-01-12,Denmark,Deaths,NA
2020-01-12,Finland,Cases,NA
2020-01-12,Finland,Deaths,NA
2020-01-12,Iceland,Cases,NA
2020-01-12,Iceland,Deaths,NA
2020-01-12,Norway,Cases,NA
2020-01-12,Norway,Deaths,NA
2020-01-12,Sweden,Cases,NA
2020-01-12,Sweden,Deaths,NA
2020-01-13,Denmark,Cases,NA
2020-01-13,Denmark,Deaths,NA
2020-01-13,Finland,Cases,NA
2020-01-13,Finland,Deaths,NA
2020-01-13,Iceland,Cases,NA
2020-01-13,Iceland,Deaths,NA
2020-01-13,Norway,Cases,NA
2020-01-13,Norway,Deaths,NA
2020-01-13,Sweden,Cases,NA
2020-01-13,Sweden,Deaths,NA
2020-01-14,Denmark,Cases,NA
2020-01-14,Denmark,Deaths,NA
2020-01-14,Finland,Cases,NA
2020-01-14,Finland,Deaths,NA
2020-01-14,Iceland,Cases,NA
2020-01-14,Iceland,Deaths,NA
2020-01-14,Norway,Cases,NA
2020-01-14,Norway,Deaths,NA
2020-01-14,Sweden,Cases,NA
2020-01-14,Sweden,Deaths,NA
2020-01-15,Denmark,Cases,NA
2020-01-15,Denmark,Deaths,NA
